U,Region_u,u_pi,V,Region_v,v_pi,Rank,Gender,Type
Stanford University,West     ,2.23,UC Berkeley,West     ,2.31,Asst,M,Type 1
Stanford University,West     ,2.23,UC Berkeley,West     ,2.31,Asst,M,Type 1
Stanford University,West     ,2.23,UC Berkeley,West     ,2.31,Assoc,M,Type 1
Stanford University,West     ,2.23,UC Berkeley,West     ,2.31,Assoc,M,Type 1
Stanford University,West     ,2.23,UC Berkeley,West     ,2.31,Assoc,M,Type 1
Stanford University,West     ,2.23,UC Berkeley,West     ,2.31,Assoc,M,Type 1
Stanford University,West     ,2.23,UC Berkeley,West     ,2.31,Full,M,Type 1
Stanford University,West     ,2.23,UC Berkeley,West     ,2.31,Full,F,Type 1
Stanford University,West     ,2.23,UC Berkeley,West     ,2.31,Full,M,Type 1
Stanford University,West     ,2.23,MIT,Northeast,3.52,Asst,M,Type 1
Stanford University,West     ,2.23,MIT,Northeast,3.52,Assoc,F,Type 1
Stanford University,West     ,2.23,MIT,Northeast,3.52,Assoc,M,Type 1
Stanford University,West     ,2.23,MIT,Northeast,3.52,Full,M,Type 1
Stanford University,West     ,2.23,MIT,Northeast,3.52,Full,M,Type 1
Stanford University,West     ,2.23,MIT,Northeast,3.52,Full,M,Type 1
Stanford University,West     ,2.23,MIT,Northeast,3.52,Full,M,Type 1
Stanford University,West     ,2.23,MIT,Northeast,3.52,Full,M,Type 1
Stanford University,West     ,2.23,MIT,Northeast,3.52,Full,F,Type 1
Stanford University,West     ,2.23,MIT,Northeast,3.52,Full,M,Type 1
Stanford University,West     ,2.23,MIT,Northeast,3.52,Full,F,Type 1
Stanford University,West     ,2.23,MIT,Northeast,3.52,Full,M,Type 1
Stanford University,West     ,2.23,MIT,Northeast,3.52,Full,M,Type 1
Stanford University,West     ,2.23,MIT,Northeast,3.52,Full,M,Type 1
Stanford University,West     ,2.23,Harvard University,Northeast,6.12,Full,M,Type 1
Stanford University,West     ,2.23,Harvard University,Northeast,6.12,Full,M,Type 1
Stanford University,West     ,2.23,Cornell University,Northeast,8.29,Asst,M,Type 1
Stanford University,West     ,2.23,Cornell University,Northeast,8.29,Asst,M,Type 1
Stanford University,West     ,2.23,Cornell University,Northeast,8.29,Assoc,M,Type 1
Stanford University,West     ,2.23,Cornell University,Northeast,8.29,Full,M,Type 1
Stanford University,West     ,2.23,Cornell University,Northeast,8.29,Full,F,Type 1
Stanford University,West     ,2.23,Cornell University,Northeast,8.29,Full,M,Type 1
Stanford University,West     ,2.23,Cornell University,Northeast,8.29,Full,M,Type 1
Stanford University,West     ,2.23,Carnegie Mellon University,Northeast,9.28,Assoc,M,Type 1
Stanford University,West     ,2.23,Carnegie Mellon University,Northeast,9.28,Full,M,Type 1
Stanford University,West     ,2.23,Carnegie Mellon University,Northeast,9.28,Full,F,Type 1
Stanford University,West     ,2.23,Carnegie Mellon University,Northeast,9.28,Full,M,Type 1
Stanford University,West     ,2.23,Carnegie Mellon University,Northeast,9.28,Full,M,Type 1
Stanford University,West     ,2.23,Carnegie Mellon University,Northeast,9.28,Full,M,Type 1
Stanford University,West     ,2.23,Carnegie Mellon University,Northeast,9.28,Full,M,Type 1
Stanford University,West     ,2.23,Carnegie Mellon University,Northeast,9.28,Full,M,Type 1
Stanford University,West     ,2.23,Carnegie Mellon University,Northeast,9.28,Full,M,Type 1
Stanford University,West     ,2.23,Carnegie Mellon University,Northeast,9.28,Full,M,Type 1
Stanford University,West     ,2.23,Carnegie Mellon University,Northeast,9.28,Full,M,Type 1
Stanford University,West     ,2.23,Princeton University,Northeast,9.32,Assoc,M,Type 1
Stanford University,West     ,2.23,Princeton University,Northeast,9.32,Assoc,M,Type 1
Stanford University,West     ,2.23,Princeton University,Northeast,9.32,Assoc,F,Type 1
Stanford University,West     ,2.23,Princeton University,Northeast,9.32,Full,F,Type 1
Stanford University,West     ,2.23,Princeton University,Northeast,9.32,Full,M,Type 1
Stanford University,West     ,2.23,Princeton University,Northeast,9.32,Full,M,Type 1
Stanford University,West     ,2.23,Princeton University,Northeast,9.32,Full,M,Type 1
Stanford University,West     ,2.23,Yale University,Northeast,9.98,Full,M,Type 1
Stanford University,West     ,2.23,Yale University,Northeast,9.98,Full,F,Type 1
Stanford University,West     ,2.23,University of Washington,West     ,11.06,Asst,F,Type 1
Stanford University,West     ,2.23,University of Washington,West     ,11.06,Full,M,Type 1
Stanford University,West     ,2.23,University of Washington,West     ,11.06,Full,M,Type 1
Stanford University,West     ,2.23,University of Washington,West     ,11.06,Full,M,Type 1
Stanford University,West     ,2.23,University of Washington,West     ,11.06,Full,F,Type 1
Stanford University,West     ,2.23,University of Illinois Urbana Champaign,Midwest  ,13.43,Assoc,M,Type 1
Stanford University,West     ,2.23,University of Illinois Urbana Champaign,Midwest  ,13.43,Assoc,M,Type 1
Stanford University,West     ,2.23,University of Illinois Urbana Champaign,Midwest  ,13.43,Assoc,M,Type 1
Stanford University,West     ,2.23,University of Illinois Urbana Champaign,Midwest  ,13.43,Full,M,Type 1
Stanford University,West     ,2.23,University of Illinois Urbana Champaign,Midwest  ,13.43,Full,M,Type 1
Stanford University,West     ,2.23,University of Illinois Urbana Champaign,Midwest  ,13.43,Full,M,Type 1
Stanford University,West     ,2.23,University of Wisconsin Madison,Midwest  ,14.12,Asst,M,Type 1
Stanford University,West     ,2.23,University of Wisconsin Madison,Midwest  ,14.12,Full,M,Type 1
Stanford University,West     ,2.23,University of Pennsylvania,Northeast,15.31,Asst,M,Type 1
Stanford University,West     ,2.23,University of Pennsylvania,Northeast,15.31,Assoc,M,Type 1
Stanford University,West     ,2.23,University of Pennsylvania,Northeast,15.31,Full,M,Type 1
Stanford University,West     ,2.23,University of Pennsylvania,Northeast,15.31,Full,M,Type 1
Stanford University,West     ,2.23,Rice University,South    ,16.44,Full,M,Type 1
Stanford University,West     ,2.23,Rice University,South    ,16.44,Full,F,Type 1
Stanford University,West     ,2.23,Rice University,South    ,16.44,Full,M,Type 1
Stanford University,West     ,2.23,Rice University,South    ,16.44,Full,F,Type 1
Stanford University,West     ,2.23,UCLA,West     ,17.82,Asst,M,Type 1
Stanford University,West     ,2.23,UCLA,West     ,17.82,Assoc,M,Type 1
Stanford University,West     ,2.23,UCLA,West     ,17.82,Full,M,Type 1
Stanford University,West     ,2.23,UCLA,West     ,17.82,Full,M,Type 1
Stanford University,West     ,2.23,New York University,Northeast,18.23,Assoc,M,Type 1
Stanford University,West     ,2.23,New York University,Northeast,18.23,Assoc,M,Type 1
Stanford University,West     ,2.23,New York University,Northeast,18.23,Full,F,Type 1
Stanford University,West     ,2.23,New York University,Northeast,18.23,Full,M,Type 1
Stanford University,West     ,2.23,New York University,Northeast,18.23,Full,F,Type 1
Stanford University,West     ,2.23,University of Chicago,Midwest  ,18.82,Asst,F,Type 1
Stanford University,West     ,2.23,University of Texas Austin,South    ,19.44,Assoc,M,Type 1
Stanford University,West     ,2.23,University of Texas Austin,South    ,19.44,Full,M,Type 1
Stanford University,West     ,2.23,Columbia University,Northeast,22.53,Asst,M,Type 1
Stanford University,West     ,2.23,Columbia University,Northeast,22.53,Assoc,M,Type 1
Stanford University,West     ,2.23,Columbia University,Northeast,22.53,Assoc,M,Type 1
Stanford University,West     ,2.23,Columbia University,Northeast,22.53,Full,M,Type 1
Stanford University,West     ,2.23,Columbia University,Northeast,22.53,Full,M,Type 1
Stanford University,West     ,2.23,University of Toronto,Canada   ,24.79,Asst,M,Type 1
Stanford University,West     ,2.23,University of Toronto,Canada   ,24.79,Assoc,M,Type 1
Stanford University,West     ,2.23,University of Rochester,Northeast,25.64,Asst,M,Type 1
Stanford University,West     ,2.23,University of Southern California,West     ,26.17,Full,M,Type 1
Stanford University,West     ,2.23,Johns Hopkins University,South    ,26.30,Asst,F,Type 1
Stanford University,West     ,2.23,Johns Hopkins University,South    ,26.30,Full,M,Type 1
Stanford University,West     ,2.23,University of Massachusetts Amherst,Northeast,26.95,Assoc,M,Type 1
Stanford University,West     ,2.23,University of Massachusetts Amherst,Northeast,26.95,Full,M,Type 1
Stanford University,West     ,2.23,UC San Diego,West     ,27.93,Asst,M,Type 1
Stanford University,West     ,2.23,UC San Diego,West     ,27.93,Assoc,F,Type 1
Stanford University,West     ,2.23,UC San Diego,West     ,27.93,Full,M,Type 1
Stanford University,West     ,2.23,UC San Diego,West     ,27.93,Full,M,Type 1
Stanford University,West     ,2.23,UC San Diego,West     ,27.93,Full,M,Type 1
Stanford University,West     ,2.23,UC San Diego,West     ,27.93,Full,M,Type 1
Stanford University,West     ,2.23,UC San Diego,West     ,27.93,Full,M,Type 1
Stanford University,West     ,2.23,University of Maryland College Park,South    ,28.65,Assoc,F,Type 1
Stanford University,West     ,2.23,University of Maryland College Park,South    ,28.65,Full,F,Type 1
Stanford University,West     ,2.23,University of Maryland College Park,South    ,28.65,Full,M,Type 1
Stanford University,West     ,2.23,University of Michigan,Midwest  ,29.37,Asst,M,Type 1
Stanford University,West     ,2.23,University of Michigan,Midwest  ,29.37,Assoc,F,Type 1
