Institution,Rank,Page Rank Score
Stanford University,205,nan
UC Berkeley,76,nan
MIT,75,nan
California Institute of Technology,74,nan
Harvard University,73,nan
Cornell University,72,nan
Carnegie Mellon University,71,nan
Princeton University,70,nan
Yale University,69,nan
University of Washington,68,nan
University of Illinois Urbana Champaign,67,nan
University of Wisconsin Madison,65,nan
University of Pennsylvania,54,nan
Rice University,64,nan
UCLA,63,nan
New York University,62,nan
University of Chicago,61,nan
University of Texas Austin,60,nan
Brown University,59,nan
Columbia University,58,nan
University of Toronto,57,nan
University of Rochester,56,nan
University of Southern California,55,nan
Johns Hopkins University,77,nan
University of Massachusetts Amherst,78,nan
UC San Diego,79,nan
University of Maryland College Park,80,nan
University of Michigan,101,nan
University of North Carolina Chapel Hill,100,nan
Duke University,99,nan
State University of New York Stony Brook,98,nan
UC Irvine,97,nan
Dartmouth College,96,nan
University of Virginia,95,nan
Purdue University,94,nan
University of Minnesota Minneapolis,93,nan
Georgia Tech,92,nan
Rutgers University,91,nan
University of Arizona,90,nan
Pennsylvania State University,89,nan
Ohio State University,88,nan
Northwestern University,87,nan
Washington University St. Louis,86,nan
University of Pittsburgh,85,nan
Boston University,84,nan
University of British Columbia,83,nan
University of Oregon,82,nan
Syracuse University,81,nan
UC Santa Barbara,66,nan
University of Utah,53,nan
UC Davis,52,nan
Texas A&M,51,nan
University of Houston,24,nan
Michigan State University,23,nan
University of Waterloo,22,nan
University of Colorado Boulder,21,nan
McGill University,20,nan
CUNY Graduate Center,19,nan
Case Western Reserve University,18,nan
UC Riverside,17,nan
University of Kansas Lawrence,16,nan
Florida State University,15,nan
College of William and Mary,13,nan
Lehigh University,2,nan
University of Montreal,12,nan
Simon Fraser University,11,nan
University of Illinois Chicago,10,nan
University of Cincinnati,9,nan
UC Santa Cruz,8,nan
Rensselaer Polytechnic Institute,7,nan
Southern Methodist University,6,nan
University of Central Florida,5,nan
University of New Mexico,4,nan
North Carolina State University,3,nan
State University of New York Buffalo,25,nan
Stevens Institute of Technology,14,nan
Washington State University Pullman,26,nan
McMaster University,40,nan
Brandeis University,50,nan
University of Alberta,49,nan
George Washington University,48,nan
Polytechnic Institute of NYU,47,nan
University of Iowa,46,nan
University of Delaware,45,nan
Iowa State University,44,nan
Vanderbilt University,43,nan
University of Florida,42,nan
George Mason University,41,nan
University of Notre Dame,39,nan
Wayne State University,28,nan
University of Calgary,38,nan
University of Louisiana Lafayette,37,nan
University of Western Ontario,36,nan
Carleton University,35,nan
Queens University,34,nan
University of Wisconsin Milwaukee,33,nan
Louisiana State University,32,nan
University of Texas Arlington,31,nan
University of Ottawa,30,nan
University of Connecticut,29,nan
Oregon Health and Science University,102,nan
Arizona State University,27,nan
Kansas State University,103,nan
State University of New York Albany,130,nan
University of South Florida,179,nan
Virginia Tech,178,nan
Portland State University,177,nan
University of South Carolina,176,nan
Missouri University of Science and Technology,175,nan
University of Oklahoma,174,nan
Indiana University,173,nan
Illinois Institute of Technology,172,nan
University of Tennessee Knoxville,171,nan
University of Miami,170,nan
New Jersey Institute of Technology,168,nan
University of Kentucky,157,nan
State University of New York Binghamton,167,nan
Colorado State University,166,nan
University of Colorado Denver,165,nan
University of Texas Dallas,164,nan
University of Rhode Island,163,nan
Toyota Technological Institute at Chicago,162,nan
Auburn University,161,nan
Drexel University,160,nan
Oregon State University,159,nan
University of Manitoba,158,nan
University of Regina,180,nan
University of Nebraska Lincoln,181,nan
University of Saskatchewan,182,nan
Florida Atlantic University,183,nan
University of Texas San Antonio,204,nan
University of Denver,203,nan
